PacketCounter,SampleTimeFine,Euler_X,Euler_Y,Euler_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Mag_X,Mag_Y,Mag_Z,
3379, 503177837, 3.1721410751342773, -24.181230545043945, 36.92152786254883, -12.445520401000977, 5.7352447509765625, -38.54069900512695, 67.18302917480469, 228.0430145263672, 81.95759582519531, 0.089599609375, 0.503662109375, -0.56689453125, 
3380, 503186170, 2.8588151931762695, -21.626192092895508, 37.89772033691406, -12.78494644165039, 3.787471055984497, 2.779287099838257, 7.726025104522705, 308.7896728515625, 91.9045639038086, 0.13134765625, 0.503662109375, -0.577880859375, 
3381, 503194503, 2.552809000015259, -19.71833610534668, 38.78130340576172, 1.5985238552093506, 0.0032375622540712357, 27.558015823364258, 0.06110602244734764, 229.71575927734375, 88.41525268554688, 0.15380859375, 0.50439453125, -0.585205078125, 
3382, 503202836, 2.5141801834106445, -17.69917106628418, 39.620513916015625, -0.9957553744316101, -5.951329231262207, 32.68195724487305, 27.393468856811523, 243.21238708496094, 84.85009002685547, 0.183837890625, 0.5029296875, -0.593994140625, 
3383, 503211169, 2.528264045715332, -16.074600219726562, 40.22087478637695, -3.5698084831237793, -6.87591552734375, 13.695221900939941, 21.928091049194336, 193.99610900878906, 60.36545944213867, 0.210205078125, 0.5009765625, -0.59765625, 
3384, 503219502, 2.5883142948150635, -14.333166122436523, 40.65601348876953, 0.88671875, -9.689542770385742, -1.4510079622268677, 20.62562370300293, 207.94776916503906, 41.27602767944336, 0.23583984375, 0.500244140625, -0.60595703125, 
3385, 503227835, 2.810534715652466, -12.418201446533203, 40.95880889892578, -0.6669782400131226, -10.997513771057129, 3.086975574493408, 34.49591827392578, 227.2834930419922, 24.55984115600586, 0.2568359375, 0.494140625, -0.6083984375, 
3386, 503236168, 3.3223700523376465, -10.3777437210083, 41.11622619628906, -5.264232635498047, -10.503068923950195, 17.362071990966797, 64.87413787841797, 242.43357849121094, 5.655385971069336, 0.28173828125, 0.48974609375, -0.615478515625, 
3387, 503244501, 3.961071252822876, -8.550868034362793, 41.12459182739258, -6.433564186096191, -8.756126403808594, 21.51460838317871, 76.40956115722656, 214.93116760253906, -12.798381805419922, 0.30712890625, 0.479736328125, -0.619873046875, 
3388, 503252834, 4.567078113555908, -6.792026996612549, 40.99494552612305, -2.798583745956421, -4.141709327697754, 14.694711685180664, 70.3660888671875, 206.26588439941406, -30.811376571655273, 0.3291015625, 0.47412109375, -0.621337890625, 
3389, 503261167, 5.171444416046143, -4.952732563018799, 40.900272369384766, -3.6259565353393555, 3.7153851985931396, 15.697135925292969, 71.13887786865234, 214.9210662841797, -29.79157066345215, 0.349853515625, 0.46728515625, -0.626953125, 
3390, 503269500, 5.721304416656494, -3.1500821113586426, 40.946346282958984, -2.370318651199341, 10.935089111328125, 15.458770751953125, 66.0946044921875, 212.80117797851562, -14.780217170715332, 0.372802734375, 0.458740234375, -0.62939453125, 
3391, 503277833, 6.111716270446777, -1.3798638582229614, 41.20823287963867, -4.345940589904785, 11.322009086608887, 16.085010528564453, 47.89684295654297, 210.42576599121094, 9.578800201416016, 0.395751953125, 0.45166015625, -0.62939453125, 
3392, 503286166, 6.244200229644775, 0.3243762254714966, 41.61223602294922, -2.6984364986419678, 5.28477668762207, 12.727317810058594, 16.07012367248535, 205.47276306152344, 26.453657150268555, 0.415283203125, 0.4521484375, -0.6259765625, 
3393, 503294499, 5.951569080352783, 2.1488707065582275, 42.022884368896484, -4.83903694152832, 3.9813733100891113, 20.975563049316406, -36.513206481933594, 218.76394653320312, 25.893884658813477, 0.437744140625, 0.448486328125, -0.621826171875, 
3394, 503302832, 4.8523783683776855, 3.648402452468872, 42.26903533935547, -12.116362571716309, 5.529801845550537, 37.77710723876953, -133.67088317871094, 178.85816955566406, 12.690555572509766, 0.460205078125, 0.458251953125, -0.611083984375, 
3395, 503311165, 4.070000648498535, 4.8780517578125, 42.45856857299805, -6.31443452835083, -0.7946686148643494, 15.272125244140625, -95.94892883300781, 144.6602783203125, 11.230156898498535, 0.480712890625, 0.47216796875, -0.602783203125, 
3396, 503319498, 3.5766303539276123, 5.907507419586182, 42.57920837402344, -3.3116493225097656, -6.810031890869141, 17.571157455444336, -60.84040832519531, 121.15245056152344, 6.403905868530273, 0.493408203125, 0.476806640625, -0.594482421875, 
3397, 503327831, 3.3410112857818604, 6.733187198638916, 42.6486930847168, -2.938467264175415, -0.7123048901557922, 11.455377578735352, -29.558956146240234, 95.08175659179688, 2.355031728744507, 0.502685546875, 0.48095703125, -0.590087890625, 
3398, 503336164, 3.1469905376434326, 7.324821949005127, 42.68931198120117, -3.1016037464141846, 0.09822650998830795, 12.408402442932129, -24.155662536621094, 68.0846939086914, 1.0732027292251587, 0.510986328125, 0.480712890625, -0.587158203125, 
3399, 503344497, 2.9856643676757812, 7.769546031951904, 42.71944808959961, -2.441065549850464, -0.8883888721466064, 11.646880149841309, -20.13422203063965, 49.14933776855469, 0.8202850222587585, 0.51513671875, 0.482177734375, -0.581787109375, 
3400, 503352830, 2.8499069213867188, 8.093932151794434, 42.751686096191406, -2.5202009677886963, -0.170639768242836, 11.21872329711914, -17.100112915039062, 35.997745513916016, 2.1075546741485596, 0.523193359375, 0.4873046875, -0.583251953125, 
3401, 503361163, 2.714655876159668, 8.33438491821289, 42.79220962524414, -2.3069941997528076, 0.018748905509710312, 11.066349983215332, -17.210243225097656, 24.711414337158203, 3.509524345397949, 0.52734375, 0.4853515625, -0.579833984375, 
3402, 503369496, 2.5793471336364746, 8.503681182861328, 42.833492279052734, -1.9365922212600708, 0.09135226905345917, 10.55695629119873, -17.23792839050293, 17.446516036987305, 4.216886520385742, 0.529541015625, 0.48974609375, -0.577880859375, 
3403, 503377829, 2.4535210132598877, 8.651546478271484, 42.87738800048828, -1.6453973054885864, 0.7053784132003784, 10.111352920532227, -16.15974235534668, 13.610294342041016, 4.526279926300049, 0.528564453125, 0.4912109375, -0.577392578125, 
3404, 503386162, 2.335239887237549, 8.774357795715332, 42.90824890136719, -1.5640298128128052, 0.6755439043045044, 9.83286190032959, -15.0313081741333, 11.80344009399414, 3.301227569580078, 0.5302734375, 0.49169921875, -0.575927734375, 
3405, 503394495, 2.230222463607788, 8.894667625427246, 42.93317794799805, -1.4019755125045776, 0.42889609932899475, 9.687153816223145, -13.33700180053711, 10.202497482299805, 2.476269245147705, 0.533203125, 0.490966796875, -0.575927734375, 
3406, 503402828, 2.1296417713165283, 9.006146430969238, 42.9478759765625, -1.2326945066452026, 0.220417782664299, 9.535928726196289, -12.620059967041016, 10.359309196472168, 1.4912227392196655, 0.5361328125, 0.493896484375, -0.571533203125, 
3407, 503411161, 2.033802032470703, 9.157853126525879, 42.95393753051758, -1.1586014032363892, 0.8052220344543457, 9.513741493225098, -11.892818450927734, 13.887874603271484, 0.14947189390659332, 0.5322265625, 0.496337890625, -0.571044921875, 
3408, 503419494, 1.9332342147827148, 9.313117980957031, 42.930641174316406, -1.592885971069336, 0.9213151931762695, 9.816071510314941, -11.895458221435547, 15.450420379638672, -3.1399219036102295, 0.537109375, 0.496826171875, -0.572021484375, 
3409, 503427827, 1.8310844898223877, 9.471372604370117, 42.883541107177734, -1.6977019309997559, 0.66457200050354, 9.817996978759766, -11.612754821777344, 14.479975700378418, -6.109253883361816, 0.53955078125, 0.497802734375, -0.570068359375, 
3410, 503436160, 1.745573878288269, 9.604269027709961, 42.824668884277344, -1.7835628986358643, 0.10398206859827042, 9.898680686950684, -9.36659049987793, 12.646992683410645, -7.2014689445495605, 0.541015625, 0.497802734375, -0.568115234375, 
3411, 503444493, 1.691355586051941, 9.725899696350098, 42.777164459228516, -1.701462745666504, -0.4863292872905731, 9.5711669921875, -5.828033924102783, 10.112565994262695, -5.974522113800049, 0.54150390625, 0.498291015625, -0.569091796875, 
3412, 503452826, 1.6767759323120117, 9.828243255615234, 42.743202209472656, -1.7336385250091553, -0.39733877778053284, 9.658080101013184, -1.3329391479492188, 9.08189868927002, -4.113569259643555, 0.542724609375, 0.501220703125, -0.570556640625, 
3413, 503461159, 1.6829605102539062, 9.924723625183105, 42.7265739440918, -1.864908218383789, -0.06977362185716629, 9.94143009185791, 0.8132904171943665, 7.213084697723389, -2.21893572807312, 0.54296875, 0.5009765625, -0.564208984375, 
3414, 503469492, 1.690104603767395, 10.000029563903809, 42.70870590209961, -1.7991671562194824, 0.4485442638397217, 9.917694091796875, 0.9536819458007812, 5.894437313079834, -2.115556478500366, 0.54150390625, 0.499267578125, -0.568115234375, 
3415, 503477825, 1.6948500871658325, 10.08426570892334, 42.68394088745117, -1.8164408206939697, 0.41832196712493896, 9.883936882019043, 0.8252778649330139, 5.7219767570495605, -3.130674123764038, 0.54638671875, 0.5009765625, -0.568603515625, 
3416, 503486158, 1.7022384405136108, 10.153464317321777, 42.65068817138672, -1.9578278064727783, 0.29684174060821533, 9.983543395996094, 1.3121532201766968, 5.108208656311035, -3.9142649173736572, 0.544921875, 0.49853515625, -0.568115234375, 
3417, 503494491, 1.7159579992294312, 10.21397876739502, 42.61952209472656, -2.062016248703003, 0.1737629920244217, 10.055269241333008, 2.0448226928710938, 2.8600473403930664, -3.8027663230895996, 0.54541015625, 0.501953125, -0.565185546875, 
3418, 503502824, 1.7340811491012573, 10.246451377868652, 42.58705139160156, -2.1241049766540527, 0.3192375600337982, 10.031022071838379, 2.5901498794555664, 0.7025344371795654, -3.688936948776245, 0.54541015625, 0.49853515625, -0.563720703125, 
3419, 503511157, 1.7617378234863281, 10.268091201782227, 42.5548095703125, -2.0865232944488525, 0.24965308606624603, 9.891965866088867, 3.747938394546509, -1.804215431213379, -3.789523124694824, 0.544921875, 0.5, -0.566650390625, 
3420, 503519490, 1.8060979843139648, 10.262035369873047, 42.519020080566406, -1.873715877532959, 0.2634759247303009, 9.65693187713623, 5.814829349517822, -3.9341421127319336, -3.941800832748413, 0.54541015625, 0.5, -0.566162109375, 
3421, 503527823, 1.8606878519058228, 10.264081001281738, 42.48591995239258, -1.7131074666976929, 0.2031066119670868, 9.793551445007324, 6.998948574066162, -4.160494327545166, -3.813318967819214, 0.54736328125, 0.49951171875, -0.565185546875, 
3422, 503536156, 1.9130641222000122, 10.253615379333496, 42.45465850830078, -1.7696890830993652, 0.24038109183311462, 9.89404010772705, 6.678796768188477, -4.453675270080566, -3.3884050846099854, 0.5458984375, 0.5009765625, -0.566162109375, 
3423, 503544489, 1.957961916923523, 10.253314018249512, 42.425865173339844, -1.7591438293457031, 0.45026007294654846, 9.879533767700195, 5.745567798614502, -4.424168109893799, -3.2925567626953125, 0.543701171875, 0.50244140625, -0.569580078125, 
