PacketCounter,SampleTimeFine,Euler_X,Euler_Y,Euler_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Mag_X,Mag_Y,Mag_Z,Status,
613, 1073646820, -146.42247009277344, -15.974201202392578, -126.97712707519531, -8.772931098937988, -1.7794663906097412, 10.377016067504883, -0.6634745001792908, -297.771240234375, 44.96779251098633, 1.0078125, 0.528564453125, -0.10205078125, 0, 
614, 1073655153, -146.71556091308594, -13.549771308898926, -125.69480895996094, -9.626543998718262, -1.8737401962280273, 10.557994842529297, 3.820908546447754, -327.8548889160156, 36.22914505004883, 1.0009765625, 0.520751953125, -0.133056640625, 0, 
615, 1073663486, -146.93771362304688, -10.863759994506836, -124.24893188476562, -9.872200965881348, -2.0154240131378174, 9.836418151855469, 7.6174540519714355, -356.1097717285156, 27.804763793945312, 0.991455078125, 0.521484375, -0.165771484375, 0, 
616, 1073671819, -147.09979248046875, -8.145491600036621, -122.6707992553711, -9.421562194824219, -2.0247907638549805, 8.383609771728516, 11.605231285095215, -378.3799743652344, 21.002824783325195, 0.9833984375, 0.517822265625, -0.196533203125, 0, 
617, 1073680152, -147.1399383544922, -5.264308929443359, -121.01871490478516, -8.537561416625977, -1.864984154701233, 6.568537712097168, 15.166187286376953, -390.7530822753906, 15.93136215209961, 0.97900390625, 0.51611328125, -0.2353515625, 0, 
618, 1073688485, -147.10467529296875, -2.484121322631836, -119.3413314819336, -7.495852470397949, -1.622648000717163, 4.844883918762207, 17.60639190673828, -392.2845153808594, 12.555910110473633, 0.959716796875, 0.51513671875, -0.27392578125, 0, 
619, 1073696818, -146.93861389160156, 0.3261842429637909, -117.68521118164062, -6.705938816070557, -1.4284679889678955, 3.395299196243286, 19.75476837158203, -384.5392761230469, 10.761612892150879, 0.944580078125, 0.51806640625, -0.3125, 0, 
620, 1073705151, -146.70193481445312, 2.9339330196380615, -116.08657836914062, -6.081029415130615, -1.222105860710144, 2.3551416397094727, 22.712383270263672, -369.93084716796875, 10.87612247467041, 0.9296875, 0.514892578125, -0.350830078125, 0, 
621, 1073713484, -146.3359375, 5.49587869644165, -114.58405303955078, -5.8508124351501465, -1.0304088592529297, 2.119765520095825, 26.1042423248291, -349.10107421875, 13.845786094665527, 0.90869140625, 0.510986328125, -0.385009765625, 0, 
622, 1073721817, -145.92556762695312, 7.82153844833374, -113.19879150390625, -6.14982271194458, -0.8647400140762329, 3.096656322479248, 29.731761932373047, -326.8168029785156, 18.562280654907227, 0.890869140625, 0.511962890625, -0.417724609375, 0, 
623, 1073730150, -145.40936279296875, 10.123564720153809, -111.90067291259766, -7.361103057861328, -0.6544279456138611, 5.371262073516846, 32.58510971069336, -308.3825988769531, 23.30730438232422, 0.8720703125, 0.513427734375, -0.44873046875, 0, 
624, 1073738483, -144.88482666015625, 12.289841651916504, -110.65127563476562, -9.390654563903809, -0.1289806365966797, 8.241219520568848, 33.571346282958984, -300.44830322265625, 27.993907928466797, 0.846435546875, 0.508544921875, -0.474609375, 0, 
